X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000180801,vAN,Ventral forebrain,NA,NA,NA,ARSJ,expressed,NA
ENSG00000180875,dAN,Dorsal forebrain,NA,NA,NA,GREM2,expressed,NA
ENSG00000180902,vAN,NA,NA,NA,NA,D2HGDH,expressed,NA
ENSG00000180914,dAN,NA,NA,NA,NA,OXTR,expressed,NA
ENSG00000181019,dAN,NA,NA,NA,Cluster 2,NQO1,expressed,NA
ENSG00000181031,vAN,NA,NA,NA,NA,RPH3AL,expressed,NA
ENSG00000181274,vAN,Early differentiation,NA,NA,NA,FRAT2,expressed,NA
ENSG00000181378,vAN,Ventral forebrain,NA,NA,Cluster 1,CFAP65,NA,NA
ENSG00000181649,dAN,NA,NA,NA,NA,PHLDA2,expressed,NA
ENSG00000181744,vAN,Ventral forebrain,NA,NA,NA,DIPK2A,NA,NA
ENSG00000181773,dAN,Dorsal forebrain,NA,NA,NA,GPR3,expressed,NA
ENSG00000181965,dAN,NA,NA,NA,NA,NEUROG1,expressed,NA
ENSG00000182022,dAN,NA,NA,NA,NA,CHST15,expressed,NA
ENSG00000182070,dAN,NA,NA,NA,NA,OR52A1,NA,NA
ENSG00000182158,dAN,NA,NA,NA,Cluster 2,CREB3L2,expressed,NA
ENSG00000182165,dAN,Dorsal forebrain,NA,NA,NA,TP53TG1,expressed,NA
ENSG00000182168,dAN,NA,NA,NA,NA,UNC5C,expressed,NA
ENSG00000182240,dAN,NA,NA,NA,NA,BACE2,expressed,NA
ENSG00000182255,vAN,Ventral forebrain,NA,NA,NA,KCNA4,expressed,NA
ENSG00000182256,vAN,NA,NA,1,NA,GABRG3,expressed,NA
ENSG00000182393,dAN,NA,NA,NA,NA,IFNL1,NA,NA
ENSG00000182405,vAN,NA,NA,NA,NA,PGBD4,expressed,NA
ENSG00000182580,vAN,NA,NA,NA,NA,EPHB3,expressed,NA
ENSG00000182752,dAN,NA,NA,NA,NA,PAPPA,expressed,NA
ENSG00000182771,dAN,NA,NA,NA,NA,GRID1,expressed,NA
ENSG00000182836,dAN,NA,NA,NA,NA,PLCXD3,expressed,NA
ENSG00000182968,dAN,Dorsal forebrain,NA,NA,Cluster 2,SOX1,expressed,NA
ENSG00000183018,dAN,NA,NA,NA,NA,SPNS2,expressed,NA
ENSG00000183023,vAN,Ventral forebrain,NA,NA,NA,SLC8A1,expressed,NA
ENSG00000183036,dAN,Dorsal forebrain,NA,NA,Cluster 2,PCP4,expressed,NA
ENSG00000183044,vAN,NA,NA,NA,NA,ABAT,expressed,NA
ENSG00000183055,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000183145,dAN,NA,NA,NA,Cluster 2,RIPPLY3,expressed,NA
ENSG00000183208,vAN,NA,NA,NA,NA,GDPGP1,expressed,NA
ENSG00000183273,dAN,NA,NA,NA,Cluster 2,CCDC60,expressed,NA
ENSG00000183287,dAN,NA,NA,NA,NA,CCBE1,expressed,NA
ENSG00000183508,dAN,NA,NA,NA,NA,TENT5C,NA,NA
ENSG00000183690,vAN,NA,NA,NA,NA,EFHC2,expressed,NA
ENSG00000183709,dAN,NA,NA,NA,NA,IFNL2,NA,NA
ENSG00000183715,vAN,Ventral forebrain,NA,NA,Cluster 1,OPCML,expressed,NA
ENSG00000183775,vAN,Ventral forebrain,NA,NA,NA,KCTD16,expressed,NA
ENSG00000183778,vAN,Early differentiation,NA,NA,NA,B3GALT5,expressed,NA
ENSG00000183779,dAN,NA,NA,NA,NA,ZNF703,expressed,NA
ENSG00000183873,vAN,NA,NA,NA,NA,SCN5A,expressed,NA
ENSG00000183876,dAN,Dorsal forebrain,NA,NA,NA,ARSI,expressed,NA
ENSG00000183908,dAN,Dorsal forebrain,NA,NA,NA,LRRC55,expressed,NA
ENSG00000184005,vAN,Ventral forebrain,NA,NA,NA,ST6GALNAC3,expressed,NA
ENSG00000184012,dAN,Early differentiation,NA,NA,NA,TMPRSS2,expressed,NA
ENSG00000184058,vAN,NA,NA,1,NA,TBX1,expressed,NA
ENSG00000184144,dAN,Dorsal forebrain,Higly_DE,NA,NA,CNTN2,expressed,NA
ENSG00000184156,dAN,Early differentiation,NA,NA,Cluster 2,KCNQ3,expressed,NA
ENSG00000184254,dAN,Dorsal forebrain,NA,NA,NA,ALDH1A3,expressed,NA
ENSG00000184261,vAN,NA,NA,NA,NA,KCNK12,expressed,NA
ENSG00000184302,vAN,NA,NA,NA,NA,SIX6,expressed,NA
ENSG00000184319,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000184347,dAN,NA,NA,NA,NA,SLIT3,expressed,NA
ENSG00000184408,vAN,NA,NA,NA,NA,KCND2,expressed,NA
ENSG00000184441,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000184486,dAN,Dorsal forebrain,NA,NA,NA,POU3F2,expressed,NA
ENSG00000184500,vAN,Ventral forebrain,NA,NA,NA,PROS1,expressed,NA
ENSG00000184588,dAN,NA,NA,NA,NA,PDE4B,expressed,NA
ENSG00000184611,vAN,NA,NA,NA,NA,KCNH7,expressed,NA
ENSG00000184697,dAN,Early differentiation,NA,NA,NA,CLDN6,expressed,NA
ENSG00000184698,dAN,NA,NA,NA,NA,OR51M1,NA,NA
ENSG00000184785,vAN,Ventral forebrain,NA,NA,NA,SMIM10,expressed,NA
ENSG00000184809,vAN,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000184828,vAN,NA,NA,2,NA,ZBTB7C,expressed,NA
ENSG00000184838,vAN,NA,NA,NA,NA,PRR16,expressed,NA
ENSG00000184845,dAN,Dorsal forebrain,NA,NA,NA,DRD1,NA,NA
ENSG00000184867,dAN,Dorsal forebrain,NA,NA,Cluster 2,ARMCX2,expressed,NA
ENSG00000184922,dAN,NA,NA,NA,NA,FMNL1,expressed,NA
ENSG00000185008,dAN,NA,NA,NA,NA,ROBO2,expressed,NA
ENSG00000185022,dAN,NA,NA,NA,Cluster 2,MAFF,expressed,NA
ENSG00000185052,vAN,NA,NA,NA,NA,SLC24A3,expressed,NA
ENSG00000185070,vAN,NA,NA,NA,NA,FLRT2,expressed,NA
ENSG00000185088,dAN,Dorsal forebrain,NA,NA,NA,RPS27L,expressed,NA
ENSG00000185149,dAN,Dorsal forebrain,NA,NA,NA,NPY2R,NA,NA
ENSG00000185250,vAN,Forebrain,NA,NA,NA,PPIL6,expressed,NA
ENSG00000185274,dAN,NA,NA,NA,NA,GALNT17,NA,NA
ENSG00000185386,dAN,NA,NA,NA,NA,MAPK11,expressed,NA
ENSG00000185442,vAN,Ventral forebrain,NA,NA,NA,FAM174B,expressed,NA
ENSG00000185477,vAN,NA,NA,NA,NA,GPRIN3,expressed,NA
ENSG00000185483,dAN,Early differentiation,NA,NA,NA,ROR1,expressed,NA
ENSG00000185551,dAN,Forebrain,NA,NA,NA,NR2F2,expressed,NA
ENSG00000185559,vAN,NA,NA,NA,NA,DLK1,expressed,NA
ENSG00000185567,dAN,NA,NA,NA,NA,AHNAK2,expressed,NA
ENSG00000185585,vAN,Ventral forebrain,NA,NA,Cluster 1,OLFML2A,expressed,NA
ENSG00000185640,vAN,Ventral forebrain,NA,NA,NA,KRT79,NA,NA
ENSG00000185650,dAN,Dorsal forebrain,NA,NA,NA,ZFP36L1,expressed,NA
ENSG00000185664,vAN,NA,NA,NA,NA,PMEL,expressed,NA
ENSG00000185668,vAN,NA,NA,NA,NA,POU3F1,expressed,NA
ENSG00000185742,dAN,NA,NA,NA,NA,C11orf87,expressed,NA
ENSG00000185760,dAN,NA,NA,NA,NA,KCNQ5,expressed,NA
ENSG00000185811,dAN,NA,NA,NA,NA,IKZF1,NA,NA
ENSG00000185885,dAN,NA,NA,NA,NA,IFITM1,expressed,NA
ENSG00000185920,vAN,Ventral forebrain,Higly_DE,2,Cluster 1,PTCH1,expressed,NA
ENSG00000185950,dAN,NA,NA,NA,Cluster 2,IRS2,expressed,NA
ENSG00000186047,vAN,Ventral forebrain,NA,NA,Cluster 1,DLEU7,expressed,NA
ENSG00000186051,dAN,NA,NA,NA,NA,TAL2,expressed,NA
ENSG00000186056,dAN,NA,NA,NA,NA,MATN1-AS1,expressed,NA
ENSG00000186188,dAN,Dorsal forebrain,NA,NA,NA,FFAR4,expressed,NA
ENSG00000186197,vAN,Ventral forebrain,NA,NA,Cluster 1,EDARADD,expressed,NA
ENSG00000186231,vAN,Ventral forebrain,NA,NA,NA,KLHL32,expressed,NA
ENSG00000186417,vAN,NA,NA,NA,NA,GLDN,expressed,NA
ENSG00000186487,dAN,NA,NA,NA,NA,MYT1L,expressed,NA
ENSG00000186496,vAN,NA,NA,NA,NA,ZNF396,expressed,NA
ENSG00000186564,vAN,NA,NA,NA,NA,FOXD2,expressed,NA
ENSG00000186567,vAN,NA,NA,NA,NA,CEACAM19,expressed,NA
ENSG00000186642,dAN,NA,NA,NA,NA,PDE2A,expressed,NA
ENSG00000186665,vAN,NA,NA,NA,Cluster 1,C17orf58,expressed,NA
ENSG00000186684,vAN,NA,NA,NA,NA,CYP27C1,expressed,NA
ENSG00000186732,vAN,NA,NA,2,Cluster 1,MPPED1,expressed,NA
ENSG00000186960,vAN,NA,NA,NA,Cluster 2,LINC01551,NA,NA
ENSG00000186973,vAN,NA,NA,NA,NA,CFAP144,NA,NA
ENSG00000186976,vAN,NA,NA,NA,NA,EFCAB6,expressed,NA
ENSG00000187094,dAN,Dorsal forebrain,NA,NA,Cluster 2,CCK,expressed,NA
ENSG00000187098,vAN,Ventral forebrain,NA,1,NA,MITF,expressed,NA
ENSG00000187122,vAN,NA,NA,NA,Cluster 1,SLIT1,expressed,tested
ENSG00000187123,vAN,Ventral forebrain,NA,NA,Cluster 1,LYPD6,expressed,NA
ENSG00000187135,dAN,NA,NA,NA,NA,VSTM2B,expressed,NA
ENSG00000187210,dAN,Dorsal forebrain,NA,NA,NA,GCNT1,expressed,NA
ENSG00000187244,vAN,NA,NA,NA,NA,BCAM,expressed,NA
ENSG00000187553,dAN,NA,NA,NA,NA,CYP26C1,expressed,NA
ENSG00000187608,dAN,NA,NA,NA,NA,ISG15,expressed,NA
ENSG00000187800,dAN,NA,NA,NA,NA,PEAR1,expressed,NA
ENSG00000187824,vAN,NA,NA,NA,NA,TMEM220,expressed,NA
ENSG00000188042,dAN,Forebrain,NA,1,Cluster 2,ARL4C,expressed,NA
ENSG00000188064,dAN,Dorsal forebrain,NA,NA,NA,WNT7B,expressed,NA
ENSG00000188266,vAN,NA,NA,NA,NA,HYKK,expressed,NA
ENSG00000188290,dAN,Dorsal forebrain,NA,NA,NA,HES4,expressed,NA
ENSG00000188316,vAN,Ventral forebrain,NA,NA,NA,ENO4,expressed,NA
ENSG00000188505,vAN,Ventral forebrain,NA,NA,NA,NCCRP1,expressed,NA
ENSG00000188517,vAN,NA,NA,NA,Cluster 2,COL25A1,expressed,NA
ENSG00000188522,dAN,Dorsal forebrain,NA,NA,NA,FAM83G,expressed,NA
ENSG00000188582,dAN,Dorsal forebrain,NA,NA,Cluster 2,PAQR9,expressed,NA
ENSG00000188596,vAN,Ventral forebrain,NA,NA,NA,CFAP54,NA,NA
ENSG00000188610,dAN,NA,NA,NA,NA,FAM72B,expressed,NA
ENSG00000188611,vAN,NA,NA,NA,NA,ASAH2,expressed,NA
ENSG00000188643,dAN,NA,NA,NA,NA,S100A16,expressed,NA
ENSG00000188729,vAN,NA,NA,NA,Cluster 1,OSTN,expressed,NA
ENSG00000188906,vAN,Ventral forebrain,NA,NA,NA,LRRK2,expressed,NA
ENSG00000189120,dAN,Dorsal forebrain,NA,NA,NA,SP6,expressed,NA
ENSG00000189127,dAN,Dorsal forebrain,NA,NA,Cluster 2,ANKRD34B,expressed,NA
ENSG00000189129,dAN,NA,NA,NA,NA,PLAC9,expressed,NA
ENSG00000189143,dAN,Early differentiation,NA,NA,NA,CLDN4,expressed,NA
ENSG00000189157,vAN,Ventral forebrain,NA,NA,NA,FAM47E,expressed,NA
ENSG00000189182,vAN,NA,NA,NA,NA,KRT77,NA,NA
ENSG00000189212,vAN,Ventral forebrain,NA,NA,NA,NA,NA,NA
ENSG00000189292,dAN,NA,NA,NA,NA,ALKAL2,NA,NA
ENSG00000189350,vAN,Ventral forebrain,NA,NA,NA,TOGARAM2,NA,NA
ENSG00000189431,vAN,NA,NA,NA,Cluster 1,RASSF10,NA,NA
ENSG00000196092,dAN,NA,NA,NA,NA,PAX5,expressed,NA
ENSG00000196218,vAN,NA,NA,NA,NA,RYR1,expressed,NA
ENSG00000196338,vAN,Ventral forebrain,NA,2,Cluster 1,NLGN3,expressed,NA
ENSG00000196376,dAN,Dorsal forebrain,NA,NA,Cluster 2,SLC35F1,expressed,NA
ENSG00000196391,vAN,NA,NA,NA,NA,ZNF774,expressed,NA
ENSG00000196431,vAN,NA,NA,NA,NA,CRYBA4,expressed,NA
ENSG00000196482,vAN,Ventral forebrain,NA,NA,NA,ESRRG,expressed,NA
ENSG00000196542,vAN,Ventral forebrain,NA,NA,Cluster 1,SPTSSB,expressed,NA
ENSG00000196562,vAN,NA,NA,NA,NA,SULF2,expressed,NA
ENSG00000196581,dAN,NA,NA,NA,NA,AJAP1,expressed,NA
ENSG00000196639,dAN,NA,NA,NA,NA,HRH1,expressed,NA
ENSG00000196754,dAN,NA,NA,NA,NA,S100A2,expressed,NA
ENSG00000196767,vAN,NA,NA,NA,NA,POU3F4,expressed,NA
ENSG00000197110,dAN,NA,NA,NA,NA,IFNL3,NA,NA
ENSG00000197177,vAN,NA,NA,NA,NA,ADGRA1,NA,NA
ENSG00000197191,vAN,NA,NA,NA,NA,CYSRT1,NA,NA
ENSG00000197291,vAN,Ventral forebrain,NA,NA,NA,RAMP2-AS1,expressed,NA
ENSG00000197380,vAN,NA,NA,NA,NA,DACT3,expressed,NA
ENSG00000197385,vAN,Ventral forebrain,NA,NA,NA,ZNF860,expressed,NA
ENSG00000197406,vAN,NA,NA,NA,Cluster 2,DIO3,expressed,NA
ENSG00000197410,vAN,Ventral forebrain,NA,NA,NA,DCHS2,expressed,NA
ENSG00000197415,dAN,NA,NA,NA,Cluster 1,VEPH1,expressed,NA
ENSG00000197467,vAN,NA,NA,NA,NA,COL13A1,expressed,NA
ENSG00000197558,vAN,NA,NA,NA,NA,SSPOP,NA,NA
ENSG00000197565,dAN,Forebrain,NA,NA,Cluster 2,COL4A6,expressed,NA
ENSG00000197580,vAN,NA,NA,NA,NA,BCO2,expressed,NA
ENSG00000197696,dAN,NA,NA,NA,NA,NMB,expressed,NA
ENSG00000197705,dAN,Early differentiation,NA,NA,NA,KLHL14,expressed,NA
ENSG00000197747,dAN,NA,NA,NA,Cluster 2,S100A10,expressed,NA
ENSG00000197748,vAN,Ventral forebrain,NA,NA,NA,CFAP43,NA,NA
ENSG00000197769,dAN,NA,NA,NA,NA,MAP1LC3C,expressed,NA
ENSG00000197776,vAN,NA,NA,NA,NA,KLHDC1,expressed,NA
ENSG00000197859,dAN,NA,NA,NA,NA,ADAMTSL2,expressed,NA
ENSG00000197901,vAN,Ventral forebrain,NA,NA,NA,SLC22A6,NA,NA
ENSG00000197959,vAN,NA,NA,NA,NA,DNM3,expressed,NA
ENSG00000198203,dAN,Early differentiation,NA,NA,Cluster 2,SULT1C2,expressed,NA
ENSG00000198216,dAN,NA,NA,NA,NA,CACNA1E,expressed,NA
ENSG00000198286,dAN,NA,NA,NA,NA,CARD11,expressed,NA
ENSG00000198336,vAN,NA,NA,NA,NA,MYL4,expressed,NA
ENSG00000198355,dAN,Dorsal forebrain,NA,NA,Cluster 2,PIM3,expressed,NA
ENSG00000198417,dAN,NA,NA,NA,NA,MT1F,expressed,NA
ENSG00000198626,dAN,Early differentiation,NA,NA,NA,RYR2,expressed,NA
ENSG00000198682,vAN,NA,NA,NA,NA,PAPSS2,expressed,NA
ENSG00000198734,vAN,NA,NA,NA,NA,F5,expressed,NA
ENSG00000198756,dAN,NA,NA,NA,Cluster 2,COLGALT2,expressed,NA
ENSG00000198771,dAN,Dorsal forebrain,NA,NA,NA,RCSD1,expressed,NA
ENSG00000198774,vAN,NA,NA,NA,NA,RASSF9,expressed,NA
ENSG00000198795,dAN,Dorsal forebrain,NA,1,Cluster 2,ZNF521,expressed,NA
ENSG00000198796,dAN,NA,NA,NA,NA,ALPK2,expressed,NA
ENSG00000198821,dAN,NA,NA,NA,NA,CD247,expressed,NA
ENSG00000198844,vAN,NA,NA,NA,NA,ARHGEF15,expressed,NA
ENSG00000198846,vAN,NA,NA,NA,Cluster 1,TOX,expressed,NA
ENSG00000198914,dAN,NA,NA,NA,NA,POU3F3,expressed,NA
ENSG00000198939,vAN,NA,NA,NA,NA,ZFP2,expressed,NA
ENSG00000199366,dAN,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000199962,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000200385,vAN,Ventral forebrain,NA,NA,NA,NA,NA,NA
ENSG00000200818,dAN,NA,NA,NA,NA,RNU6-1204P,NA,NA
ENSG00000201608,dAN,Early differentiation,NA,NA,NA,RNU4-42P,NA,NA
ENSG00000203392,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000203497,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000203527,vAN,NA,NA,NA,NA,SCUBE1-AS1,NA,NA
ENSG00000203688,vAN,NA,NA,NA,NA,LINC02487,NA,NA
ENSG00000203706,dAN,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000203711,vAN,NA,NA,NA,NA,LINC02901,NA,NA
ENSG00000203727,dAN,Forebrain,NA,NA,NA,SAMD5,expressed,NA
ENSG00000203760,dAN,Dorsal forebrain,NA,NA,NA,CENPW,expressed,NA
ENSG00000203780,vAN,NA,NA,NA,Cluster 1,FANK1,expressed,NA
ENSG00000203805,dAN,NA,NA,NA,Cluster 2,PLPP4,NA,NA
ENSG00000204103,vAN,NA,NA,NA,NA,MAFB,expressed,NA
ENSG00000204128,vAN,NA,NA,NA,Cluster 1,C2orf72,expressed,NA
ENSG00000204228,vAN,Ventral forebrain,NA,NA,NA,HSD17B8,expressed,NA
ENSG00000204311,vAN,NA,NA,NA,NA,PJVK,NA,NA
ENSG00000204334,vAN,NA,NA,NA,NA,ERICH2,expressed,NA
ENSG00000204335,dAN,NA,NA,NA,NA,SP5,expressed,NA
ENSG00000204381,dAN,NA,NA,NA,NA,LAYN,expressed,NA
ENSG00000204634,vAN,NA,NA,NA,NA,TBC1D8,expressed,NA
ENSG00000204950,vAN,NA,NA,NA,Cluster 1,LRRC10B,expressed,NA
ENSG00000205056,vAN,Ventral forebrain,NA,NA,NA,NA,NA,NA
ENSG00000205129,vAN,NA,NA,NA,NA,C4orf47,expressed,NA
ENSG00000205221,dAN,NA,NA,NA,NA,VIT,expressed,NA
ENSG00000205300,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000205683,dAN,NA,NA,NA,NA,DPF3,expressed,NA
ENSG00000205763,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000205922,dAN,NA,NA,NA,NA,ONECUT3,expressed,NA
ENSG00000206052,dAN,NA,NA,NA,NA,DOK6,expressed,NA
ENSG00000206417,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000206530,vAN,Ventral forebrain,NA,NA,NA,CFAP44,NA,NA
ENSG00000206538,dAN,NA,NA,NA,NA,VGLL3,expressed,NA
ENSG00000206579,dAN,NA,NA,NA,NA,XKR4,expressed,NA
ENSG00000212864,vAN,NA,NA,NA,NA,RNF208,expressed,NA
ENSG00000212993,dAN,NA,NA,NA,NA,POU5F1B,expressed,NA
ENSG00000213145,dAN,Dorsal forebrain,NA,NA,NA,CRIP1,expressed,NA
ENSG00000213213,vAN,NA,NA,NA,NA,CCDC183,expressed,NA
ENSG00000213468,vAN,NA,NA,NA,NA,FIRRE,NA,NA
ENSG00000213694,vAN,NA,NA,2,NA,S1PR3,expressed,NA
ENSG00000213889,dAN,Early differentiation,NA,NA,NA,PPM1N,expressed,NA
ENSG00000213931,dAN,NA,NA,NA,NA,HBE1,expressed,NA
ENSG00000214336,dAN,NA,NA,NA,NA,FOXI3,NA,NA
ENSG00000214491,dAN,NA,NA,NA,Cluster 2,SEC14L6,expressed,NA
ENSG00000214578,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000214595,vAN,NA,NA,NA,Cluster 1,EML6,expressed,NA
ENSG00000215196,vAN,NA,NA,NA,NA,BASP1-AS1,NA,NA
ENSG00000215237,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000215452,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000215559,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000215612,vAN,NA,NA,NA,NA,HMX1,expressed,NA
ENSG00000215644,vAN,NA,NA,NA,Cluster 1,GCGR,expressed,NA
ENSG00000216775,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000217801,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000218336,dAN,NA,NA,NA,NA,TENM3,expressed,NA
ENSG00000218996,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000219404,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000221818,dAN,Dorsal forebrain,NA,NA,NA,EBF2,expressed,NA
ENSG00000221869,dAN,NA,NA,NA,NA,CEBPD,expressed,NA
ENSG00000221955,vAN,NA,NA,NA,NA,SLC12A8,expressed,NA
ENSG00000222041,dAN,NA,NA,NA,Cluster 2,CYTOR,NA,NA
ENSG00000223509,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000223518,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000223561,vAN,Ventral forebrain,NA,NA,Cluster 1,LINC03007,NA,NA
ENSG00000223749,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000223843,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000223949,dAN,Early differentiation,NA,NA,NA,ROR1-AS1,NA,NA
ENSG00000224063,dAN,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000224165,vAN,NA,NA,NA,Cluster 1,DNAJC27-AS1,expressed,NA
ENSG00000224243,dAN,Dorsal forebrain,NA,NA,NA,SOX1-OT,NA,NA
ENSG00000224331,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000224383,vAN,Ventral forebrain,NA,NA,NA,PRR29,NA,NA
ENSG00000224525,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000224812,vAN,NA,NA,NA,NA,TMEM72-AS1,expressed,NA
ENSG00000224945,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000225127,vAN,Ventral forebrain,NA,NA,Cluster 1,LINC00237,expressed,NA
ENSG00000225156,vAN,Ventral forebrain,NA,NA,NA,NA,NA,NA
ENSG00000225792,vAN,NA,NA,NA,NA,SNX10-AS1,NA,NA
ENSG00000225872,vAN,NA,NA,NA,NA,LINC01529,NA,NA
ENSG00000225933,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000226049,dAN,NA,NA,NA,NA,TLK2P1,NA,NA
ENSG00000226089,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000226124,vAN,NA,NA,NA,NA,FTCDNL1,expressed,NA
ENSG00000226887,dAN,NA,NA,NA,NA,ERVMER34-1,expressed,NA
ENSG00000226926,dAN,NA,NA,NA,NA,PDZPH1P,NA,NA
ENSG00000226928,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000227028,vAN,NA,NA,NA,NA,SLC8A1-AS1,expressed,NA
ENSG00000227036,vAN,NA,NA,NA,Cluster 1,LINC00511,expressed,NA
ENSG00000227195,vAN,NA,NA,NA,NA,MIR663AHG,NA,NA
ENSG00000227248,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000227525,vAN,NA,NA,NA,NA,RPL7P6,NA,NA
ENSG00000227528,dAN,NA,NA,NA,NA,DIAPH3-AS1,NA,NA
ENSG00000227560,vAN,Ventral forebrain,NA,NA,NA,RPS15AP30,NA,NA
ENSG00000228140,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000228219,dAN,NA,NA,NA,NA,NPM1P30,NA,NA
ENSG00000228288,dAN,NA,NA,NA,NA,PCAT6,expressed,NA
ENSG00000228528,dAN,NA,NA,NA,NA,LOC101927383,NA,NA
ENSG00000228649,dAN,Early differentiation,NA,NA,NA,SNHG26,NA,NA
ENSG00000228835,dAN,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000228878,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000228956,vAN,Ventral forebrain,NA,NA,NA,NA,NA,NA
ENSG00000228999,dAN,Dorsal forebrain,NA,NA,Cluster 2,LOC124908056,NA,NA
ENSG00000229154,dAN,NA,NA,NA,NA,KCNQ5-AS1,NA,NA
ENSG00000229191,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000229240,vAN,NA,NA,NA,NA,LINC00710,NA,NA
ENSG00000229415,vAN,NA,NA,NA,NA,SFTA3,expressed,tested
ENSG00000229497,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000229847,dAN,Dorsal forebrain,NA,NA,NA,EMX2OS,expressed,NA
ENSG00000229989,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000230432,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000230699,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000230832,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000230863,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000230910,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000231028,vAN,NA,NA,NA,NA,AHI1-DT,NA,NA
ENSG00000231233,vAN,NA,NA,NA,NA,CFAP58-DT,NA,NA
ENSG00000231324,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000231609,dAN,Dorsal forebrain,NA,NA,NA,EHBP1-AS1,NA,NA
ENSG00000231764,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000231793,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000231902,vAN,NA,NA,NA,NA,LOC105375971,NA,NA
ENSG00000232021,dAN,NA,NA,NA,NA,LEF1-AS1,NA,NA
ENSG00000232022,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000232160,vAN,NA,NA,NA,NA,RAP2C-AS1,expressed,NA
ENSG00000232712,vAN,NA,NA,NA,NA,KIZ-AS1,NA,NA
ENSG00000232821,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000233237,dAN,NA,NA,NA,NA,LINC00472,expressed,NA
ENSG00000233429,dAN,NA,NA,NA,NA,HOTAIRM1,expressed,NA
ENSG00000233451,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000233579,vAN,NA,NA,NA,NA,KRT8P15,NA,NA
ENSG00000233593,dAN,NA,NA,NA,NA,LINC02609,NA,NA
ENSG00000233639,dAN,NA,NA,NA,NA,PANTR1,NA,NA
ENSG00000233661,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000233695,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000234189,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000234383,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000234546,dAN,NA,NA,NA,Cluster 2,LNCTAM34A,NA,NA
ENSG00000234710,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000234899,vAN,NA,NA,NA,NA,SOX9-AS1,NA,NA
ENSG00000235026,dAN,NA,NA,NA,NA,DPP10-AS1,expressed,NA
ENSG00000235098,vAN,Ventral forebrain,NA,NA,Cluster 1,ANKRD65,expressed,NA
ENSG00000235169,vAN,NA,NA,NA,NA,SMIM1,expressed,NA
ENSG00000235269,dAN,NA,NA,NA,NA,LINC02331,NA,NA
